file,emotion,intensity,statement,actor
1089_IWW_DIS_XX.wav,disgust,unspecified,I wonder what this is about,1089
1053_ITH_SAD_XX.wav,sad,unspecified,I think I have a doctor's appointment,1053
1034_ITS_ANG_XX.wav,anger,unspecified,I think I've seen this before,1034
1049_IWW_ANG_XX.wav,anger,unspecified,I wonder what this is about,1049
1035_IWW_HAP_XX.wav,happy,unspecified,I wonder what this is about,1035
1050_IWW_DIS_XX.wav,disgust,unspecified,I wonder what this is about,1050
1027_TIE_FEA_XX.wav,fearful,unspecified,That is exactly what happened,1027
1054_IEO_ANG_HI.wav,anger,high,It's eleven o'clock,1054
1058_TAI_FEA_XX.wav,fearful,unspecified,The airplane is almost full,1058
1005_MTI_DIS_XX.wav,disgust,unspecified,Maybe tomorrow it will be cold,1005
1050_MTI_SAD_XX.wav,sad,unspecified,Maybe tomorrow it will be cold,1050
1038_TAI_NEU_XX.wav,neutral,unspecified,The airplane is almost full,1038
1053_TIE_ANG_XX.wav,anger,unspecified,That is exactly what happened,1053
1077_ITS_ANG_XX.wav,anger,unspecified,I think I've seen this before,1077
1041_IWL_HAP_XX.wav,happy,unspecified,I would like a new alarm clock,1041
1049_IWW_HAP_XX.wav,happy,unspecified,I wonder what this is about,1049
1023_TAI_DIS_XX.wav,disgust,unspecified,The airplane is almost full,1023
1040_TAI_NEU_XX.wav,neutral,unspecified,The airplane is almost full,1040
1014_TAI_SAD_XX.wav,sad,unspecified,The airplane is almost full,1014
1071_TAI_HAP_XX.wav,happy,unspecified,The airplane is almost full,1071
1085_ITH_FEA_XX.wav,fearful,unspecified,I think I have a doctor's appointment,1085
1056_IEO_HAP_HI.wav,happy,high,It's eleven o'clock,1056
1029_TIE_DIS_XX.wav,disgust,unspecified,That is exactly what happened,1029
1015_DFA_HAP_XX.wav,happy,unspecified,Don't forget a jacket,1015
1065_DFA_DIS_XX.wav,disgust,unspecified,Don't forget a jacket,1065
1022_IEO_HAP_HI.wav,happy,high,It's eleven o'clock,1022
1076_DFA_FEA_XX.wav,fearful,unspecified,Don't forget a jacket,1076
1055_TSI_HAP_XX.wav,happy,unspecified,The surface is slick,1055
1062_TSI_FEA_XX.wav,fearful,unspecified,The surface is slick,1062
1017_IEO_ANG_HI.wav,anger,high,It's eleven o'clock,1017
1081_TAI_SAD_XX.wav,sad,unspecified,The airplane is almost full,1081
1078_IWL_HAP_XX.wav,happy,unspecified,I would like a new alarm clock,1078
1078_MTI_FEA_XX.wav,fearful,unspecified,Maybe tomorrow it will be cold,1078
1016_IWL_FEA_XX.wav,fearful,unspecified,I would like a new alarm clock,1016
1061_WSI_SAD_XX.wav,sad,unspecified,We'll stop in a couple of minutes,1061
1012_IEO_HAP_HI.wav,happy,high,It's eleven o'clock,1012
1011_IWL_DIS_XX.wav,disgust,unspecified,I would like a new alarm clock,1011
1003_TAI_FEA_XX.wav,fearful,unspecified,The airplane is almost full,1003
1023_MTI_DIS_XX.wav,disgust,unspecified,Maybe tomorrow it will be cold,1023
1001_ITH_NEU_XX.wav,neutral,unspecified,I think I have a doctor's appointment,1001
1030_IWW_DIS_XX.wav,disgust,unspecified,I wonder what this is about,1030
1073_TIE_ANG_XX.wav,anger,unspecified,That is exactly what happened,1073
1060_ITS_HAP_XX.wav,happy,unspecified,I think I've seen this before,1060
1074_IEO_HAP_HI.wav,happy,high,It's eleven o'clock,1074
1083_IWW_HAP_XX.wav,happy,unspecified,I wonder what this is about,1083
1011_TAI_DIS_XX.wav,disgust,unspecified,The airplane is almost full,1011
1030_ITH_HAP_XX.wav,happy,unspecified,I think I have a doctor's appointment,1030
1031_MTI_ANG_XX.wav,anger,unspecified,Maybe tomorrow it will be cold,1031
1015_TIE_DIS_XX.wav,disgust,unspecified,That is exactly what happened,1015
1077_WSI_ANG_XX.wav,anger,unspecified,We'll stop in a couple of minutes,1077
1065_MTI_FEA_XX.wav,fearful,unspecified,Maybe tomorrow it will be cold,1065
1015_IEO_ANG_HI.wav,anger,high,It's eleven o'clock,1015
1026_TIE_HAP_XX.wav,happy,unspecified,That is exactly what happened,1026
1026_TSI_NEU_XX.wav,neutral,unspecified,The surface is slick,1026
1089_IWW_SAD_XX.wav,sad,unspecified,I wonder what this is about,1089
1062_ITS_HAP_XX.wav,happy,unspecified,I think I've seen this before,1062
1084_IEO_SAD_HI.wav,sad,high,It's eleven o'clock,1084
1057_IWL_ANG_XX.wav,anger,unspecified,I would like a new alarm clock,1057
1089_IWL_HAP_XX.wav,happy,unspecified,I would like a new alarm clock,1089
1083_MTI_FEA_XX.wav,fearful,unspecified,Maybe tomorrow it will be cold,1083
1027_TSI_FEA_XX.wav,fearful,unspecified,The surface is slick,1027
1054_IWL_SAD_XX.wav,sad,unspecified,I would like a new alarm clock,1054
1061_TIE_ANG_XX.wav,anger,unspecified,That is exactly what happened,1061
1045_ITS_DIS_XX.wav,disgust,unspecified,I think I've seen this before,1045
1051_DFA_NEU_XX.wav,neutral,unspecified,Don't forget a jacket,1051
1033_IOM_ANG_XX.wav,anger,unspecified,I'm on my way to the meeting,1033
1025_DFA_SAD_XX.wav,sad,unspecified,Don't forget a jacket,1025
1008_IOM_SAD_XX.wav,sad,unspecified,I'm on my way to the meeting,1008
1052_IWW_SAD_XX.wav,sad,unspecified,I wonder what this is about,1052
1088_DFA_FEA_XX.wav,fearful,unspecified,Don't forget a jacket,1088
1043_WSI_ANG_XX.wav,anger,unspecified,We'll stop in a couple of minutes,1043
1048_TAI_HAP_XX.wav,happy,unspecified,The airplane is almost full,1048
1017_MTI_SAD_XX.wav,sad,unspecified,Maybe tomorrow it will be cold,1017
1013_DFA_HAP_XX.wav,happy,unspecified,Don't forget a jacket,1013
1072_IWW_ANG_XX.wav,anger,unspecified,I wonder what this is about,1072
1072_TAI_ANG_XX.wav,anger,unspecified,The airplane is almost full,1072
1083_DFA_DIS_XX.wav,disgust,unspecified,Don't forget a jacket,1083
1009_IOM_NEU_XX.wav,neutral,unspecified,I'm on my way to the meeting,1009
1076_ITH_DIS_XX.wav,disgust,unspecified,I think I have a doctor's appointment,1076
1027_TIE_SAD_XX.wav,sad,unspecified,That is exactly what happened,1027
1013_IEO_FEA_HI.wav,fearful,high,It's eleven o'clock,1013
1062_WSI_FEA_XX.wav,fearful,unspecified,We'll stop in a couple of minutes,1062
1002_ITH_HAP_XX.wav,happy,unspecified,I think I have a doctor's appointment,1002
1071_IOM_HAP_XX.wav,happy,unspecified,I'm on my way to the meeting,1071
1034_TIE_ANG_XX.wav,anger,unspecified,That is exactly what happened,1034
1075_ITH_SAD_XX.wav,sad,unspecified,I think I have a doctor's appointment,1075
1076_ITH_NEU_XX.wav,neutral,unspecified,I think I have a doctor's appointment,1076
1064_TAI_HAP_XX.wav,happy,unspecified,The airplane is almost full,1064
1006_MTI_HAP_XX.wav,happy,unspecified,Maybe tomorrow it will be cold,1006
1025_TIE_DIS_XX.wav,disgust,unspecified,That is exactly what happened,1025
1028_ITS_ANG_XX.wav,anger,unspecified,I think I've seen this before,1028
1019_ITS_SAD_XX.wav,sad,unspecified,I think I've seen this before,1019
1019_IWL_ANG_XX.wav,anger,unspecified,I would like a new alarm clock,1019
1090_MTI_ANG_XX.wav,anger,unspecified,Maybe tomorrow it will be cold,1090
1009_IWW_ANG_XX.wav,anger,unspecified,I wonder what this is about,1009
1031_IEO_FEA_HI.wav,fearful,high,It's eleven o'clock,1031
1047_ITS_SAD_XX.wav,sad,unspecified,I think I've seen this before,1047
1067_MTI_DIS_XX.wav,disgust,unspecified,Maybe tomorrow it will be cold,1067
1024_WSI_FEA_XX.wav,fearful,unspecified,We'll stop in a couple of minutes,1024
1080_TIE_NEU_XX.wav,neutral,unspecified,That is exactly what happened,1080
1007_TAI_HAP_XX.wav,happy,unspecified,The airplane is almost full,1007
1072_MTI_ANG_XX.wav,anger,unspecified,Maybe tomorrow it will be cold,1072
1040_WSI_SAD_XX.wav,sad,unspecified,We'll stop in a couple of minutes,1040
1036_DFA_ANG_XX.wav,anger,unspecified,Don't forget a jacket,1036
1048_ITS_NEU_XX.wav,neutral,unspecified,I think I've seen this before,1048
1045_IWL_NEU_XX.wav,neutral,unspecified,I would like a new alarm clock,1045
1090_IEO_DIS_HI.wav,disgust,high,It's eleven o'clock,1090
1002_WSI_NEU_XX.wav,neutral,unspecified,We'll stop in a couple of minutes,1002
1046_MTI_ANG_XX.wav,anger,unspecified,Maybe tomorrow it will be cold,1046
1041_WSI_SAD_XX.wav,sad,unspecified,We'll stop in a couple of minutes,1041
1075_IWW_FEA_XX.wav,fearful,unspecified,I wonder what this is about,1075
1017_IOM_FEA_XX.wav,fearful,unspecified,I'm on my way to the meeting,1017
1035_ITH_FEA_XX.wav,fearful,unspecified,I think I have a doctor's appointment,1035
1046_IOM_SAD_XX.wav,sad,unspecified,I'm on my way to the meeting,1046
1053_IEO_DIS_HI.wav,disgust,high,It's eleven o'clock,1053
1014_MTI_HAP_XX.wav,happy,unspecified,Maybe tomorrow it will be cold,1014
1083_MTI_DIS_XX.wav,disgust,unspecified,Maybe tomorrow it will be cold,1083
1076_TIE_FEA_XX.wav,fearful,unspecified,That is exactly what happened,1076
1073_IEO_SAD_HI.wav,sad,high,It's eleven o'clock,1073
1011_ITS_ANG_XX.wav,anger,unspecified,I think I've seen this before,1011
1073_TSI_DIS_XX.wav,disgust,unspecified,The surface is slick,1073
1012_ITS_DIS_XX.wav,disgust,unspecified,I think I've seen this before,1012
1063_ITS_FEA_XX.wav,fearful,unspecified,I think I've seen this before,1063
1025_DFA_HAP_XX.wav,happy,unspecified,Don't forget a jacket,1025
1076_ITS_HAP_XX.wav,happy,unspecified,I think I've seen this before,1076
1001_IWL_NEU_XX.wav,neutral,unspecified,I would like a new alarm clock,1001
1006_IWW_NEU_XX.wav,neutral,unspecified,I wonder what this is about,1006
1041_ITH_ANG_XX.wav,anger,unspecified,I think I have a doctor's appointment,1041
1007_IWL_ANG_XX.wav,anger,unspecified,I would like a new alarm clock,1007
1059_TIE_SAD_XX.wav,sad,unspecified,That is exactly what happened,1059
1029_IWL_SAD_XX.wav,sad,unspecified,I would like a new alarm clock,1029
1072_ITS_FEA_XX.wav,fearful,unspecified,I think I've seen this before,1072
1001_IWL_FEA_XX.wav,fearful,unspecified,I would like a new alarm clock,1001
1036_IWL_DIS_XX.wav,disgust,unspecified,I would like a new alarm clock,1036
1018_TSI_HAP_XX.wav,happy,unspecified,The surface is slick,1018
1060_IWL_FEA_XX.wav,fearful,unspecified,I would like a new alarm clock,1060
1018_ITS_HAP_XX.wav,happy,unspecified,I think I've seen this before,1018
1049_IWL_ANG_XX.wav,anger,unspecified,I would like a new alarm clock,1049
1039_IWL_ANG_XX.wav,anger,unspecified,I would like a new alarm clock,1039
1031_IWL_NEU_XX.wav,neutral,unspecified,I would like a new alarm clock,1031
1047_IEO_DIS_HI.wav,disgust,high,It's eleven o'clock,1047
1024_TIE_SAD_XX.wav,sad,unspecified,That is exactly what happened,1024
1017_IEO_NEU_XX.wav,neutral,unspecified,It's eleven o'clock,1017
1070_TIE_FEA_XX.wav,fearful,unspecified,That is exactly what happened,1070
1075_IOM_NEU_XX.wav,neutral,unspecified,I'm on my way to the meeting,1075
1038_IWL_NEU_XX.wav,neutral,unspecified,I would like a new alarm clock,1038
1011_IWL_NEU_XX.wav,neutral,unspecified,I would like a new alarm clock,1011
1043_ITS_FEA_XX.wav,fearful,unspecified,I think I've seen this before,1043
1012_TSI_NEU_XX.wav,neutral,unspecified,The surface is slick,1012
1028_ITS_SAD_XX.wav,sad,unspecified,I think I've seen this before,1028
1080_ITS_DIS_XX.wav,disgust,unspecified,I think I've seen this before,1080
1089_TIE_DIS_XX.wav,disgust,unspecified,That is exactly what happened,1089
1016_TIE_FEA_XX.wav,fearful,unspecified,That is exactly what happened,1016
1087_IWL_NEU_XX.wav,neutral,unspecified,I would like a new alarm clock,1087
1074_IEO_ANG_HI.wav,anger,high,It's eleven o'clock,1074
1083_TAI_FEA_XX.wav,fearful,unspecified,The airplane is almost full,1083
1045_IEO_FEA_HI.wav,fearful,high,It's eleven o'clock,1045
1021_TAI_DIS_XX.wav,disgust,unspecified,The airplane is almost full,1021
1034_ITH_NEU_XX.wav,neutral,unspecified,I think I have a doctor's appointment,1034
1082_TAI_ANG_XX.wav,anger,unspecified,The airplane is almost full,1082
1018_IWW_SAD_XX.wav,sad,unspecified,I wonder what this is about,1018
1035_IEO_FEA_HI.wav,fearful,high,It's eleven o'clock,1035
1026_TAI_FEA_XX.wav,fearful,unspecified,The airplane is almost full,1026
1082_TAI_SAD_XX.wav,sad,unspecified,The airplane is almost full,1082
1019_IOM_DIS_XX.wav,disgust,unspecified,I'm on my way to the meeting,1019
1028_WSI_NEU_XX.wav,neutral,unspecified,We'll stop in a couple of minutes,1028
1074_TSI_DIS_XX.wav,disgust,unspecified,The surface is slick,1074
1029_TIE_NEU_XX.wav,neutral,unspecified,That is exactly what happened,1029
1062_TSI_ANG_XX.wav,anger,unspecified,The surface is slick,1062
1056_DFA_NEU_XX.wav,neutral,unspecified,Don't forget a jacket,1056
1034_IWW_FEA_XX.wav,fearful,unspecified,I wonder what this is about,1034
1077_MTI_HAP_XX.wav,happy,unspecified,Maybe tomorrow it will be cold,1077
1031_TAI_DIS_XX.wav,disgust,unspecified,The airplane is almost full,1031
1041_TIE_NEU_XX.wav,neutral,unspecified,That is exactly what happened,1041
1040_ITS_DIS_XX.wav,disgust,unspecified,I think I've seen this before,1040
1072_WSI_HAP_XX.wav,happy,unspecified,We'll stop in a couple of minutes,1072
1051_TSI_HAP_XX.wav,happy,unspecified,The surface is slick,1051
1053_MTI_HAP_XX.wav,happy,unspecified,Maybe tomorrow it will be cold,1053
1060_IWW_SAD_XX.wav,sad,unspecified,I wonder what this is about,1060
1076_MTI_NEU_XX.wav,neutral,unspecified,Maybe tomorrow it will be cold,1076
1017_IOM_ANG_XX.wav,anger,unspecified,I'm on my way to the meeting,1017
1047_ITH_HAP_XX.wav,happy,unspecified,I think I have a doctor's appointment,1047
1007_ITH_HAP_XX.wav,happy,unspecified,I think I have a doctor's appointment,1007
1091_DFA_SAD_XX.wav,sad,unspecified,Don't forget a jacket,1091
1019_IWL_HAP_XX.wav,happy,unspecified,I would like a new alarm clock,1019
1002_ITH_ANG_XX.wav,anger,unspecified,I think I have a doctor's appointment,1002
1072_IWW_FEA_XX.wav,fearful,unspecified,I wonder what this is about,1072
1007_ITS_HAP_XX.wav,happy,unspecified,I think I've seen this before,1007
1056_IWL_ANG_XX.wav,anger,unspecified,I would like a new alarm clock,1056
1087_TAI_FEA_XX.wav,fearful,unspecified,The airplane is almost full,1087
1050_DFA_SAD_XX.wav,sad,unspecified,Don't forget a jacket,1050
1037_IOM_NEU_XX.wav,neutral,unspecified,I'm on my way to the meeting,1037
1059_WSI_SAD_XX.wav,sad,unspecified,We'll stop in a couple of minutes,1059
1049_IOM_HAP_XX.wav,happy,unspecified,I'm on my way to the meeting,1049
1013_WSI_SAD_XX.wav,sad,unspecified,We'll stop in a couple of minutes,1013
1019_TAI_SAD_XX.wav,sad,unspecified,The airplane is almost full,1019
1008_ITS_NEU_XX.wav,neutral,unspecified,I think I've seen this before,1008
1014_TSI_HAP_XX.wav,happy,unspecified,The surface is slick,1014
1025_TIE_HAP_XX.wav,happy,unspecified,That is exactly what happened,1025
1056_WSI_FEA_XX.wav,fearful,unspecified,We'll stop in a couple of minutes,1056
1041_WSI_NEU_XX.wav,neutral,unspecified,We'll stop in a couple of minutes,1041
1031_TIE_HAP_XX.wav,happy,unspecified,That is exactly what happened,1031
1020_IWL_FEA_XX.wav,fearful,unspecified,I would like a new alarm clock,1020
1024_TAI_FEA_XX.wav,fearful,unspecified,The airplane is almost full,1024
1087_IWW_HAP_XX.wav,happy,unspecified,I wonder what this is about,1087
1053_DFA_HAP_XX.wav,happy,unspecified,Don't forget a jacket,1053
1047_MTI_DIS_XX.wav,disgust,unspecified,Maybe tomorrow it will be cold,1047
1044_WSI_DIS_XX.wav,disgust,unspecified,We'll stop in a couple of minutes,1044
1008_ITH_HAP_XX.wav,happy,unspecified,I think I have a doctor's appointment,1008
1051_ITS_ANG_XX.wav,anger,unspecified,I think I've seen this before,1051
1037_TAI_DIS_XX.wav,disgust,unspecified,The airplane is almost full,1037
1071_TIE_ANG_XX.wav,anger,unspecified,That is exactly what happened,1071
1053_IEO_FEA_HI.wav,fearful,high,It's eleven o'clock,1053
1009_TIE_FEA_XX.wav,fearful,unspecified,That is exactly what happened,1009
1042_DFA_NEU_XX.wav,neutral,unspecified,Don't forget a jacket,1042
1074_IOM_DIS_XX.wav,disgust,unspecified,I'm on my way to the meeting,1074
1057_ITS_NEU_XX.wav,neutral,unspecified,I think I've seen this before,1057
1085_WSI_NEU_XX.wav,neutral,unspecified,We'll stop in a couple of minutes,1085
1066_DFA_FEA_XX.wav,fearful,unspecified,Don't forget a jacket,1066
1075_TIE_ANG_XX.wav,anger,unspecified,That is exactly what happened,1075
1061_IWL_SAD_XX.wav,sad,unspecified,I would like a new alarm clock,1061
1041_DFA_ANG_XX.wav,anger,unspecified,Don't forget a jacket,1041
1017_WSI_ANG_XX.wav,anger,unspecified,We'll stop in a couple of minutes,1017
1051_IWL_NEU_XX.wav,neutral,unspecified,I would like a new alarm clock,1051
1002_IEO_DIS_HI.wav,disgust,high,It's eleven o'clock,1002
1024_MTI_DIS_XX.wav,disgust,unspecified,Maybe tomorrow it will be cold,1024
1004_DFA_FEA_XX.wav,fearful,unspecified,Don't forget a jacket,1004
